,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,a_1,a_2,b_1,b_2
202,5.40,5.50,0.10,5.50,4.40,4.61,0.22,0.00,5.28,10.74,6.25,545.58,0.79,0.85,-3.00,-3.60
203,6.07,5.95,0.11,6.07,5.18,5.26,0.08,0.00,5.10,9.57,5.24,447.54,0.79,0.85,-3.66,-4.11
204,5.70,5.90,0.19,5.90,4.81,4.84,0.03,0.00,4.90,9.77,5.61,487.16,0.83,0.83,-3.69,-3.60
205,5.85,5.82,0.03,5.85,5.04,4.74,0.30,0.00,6.61,11.65,6.04,504.65,0.89,0.84,-4.37,-3.82
206,4.87,4.87,0.00,4.87,4.14,4.01,0.13,0.00,9.09,15.96,8.23,686.90,0.90,0.87,-3.35,-3.08
207,6.01,6.21,0.20,6.21,5.19,5.41,0.22,0.05,4.41,8.97,5.23,456.59,0.81,0.86,-3.98,-4.24
208,5.84,5.85,0.01,5.85,4.83,4.94,0.10,0.00,9.02,14.50,6.83,548.13,0.79,0.84,-3.23,-3.75
209,6.19,5.82,0.38,6.19,5.17,4.98,0.19,0.00,5.95,10.99,5.93,504.07,0.84,0.81,-3.84,-3.73
210,5.84,5.79,0.05,5.84,4.88,4.74,0.15,0.00,6.62,11.45,5.83,483.45,0.89,0.85,-4.22,-3.88
211,6.94,6.85,0.09,6.94,5.88,5.64,0.24,0.04,7.21,11.04,4.91,382.72,0.82,0.83,-4.46,-4.48
212,6.45,6.57,0.12,6.57,5.50,5.21,0.30,0.01,6.47,11.34,5.84,486.79,0.84,0.84,-4.14,-4.08
213,6.75,6.61,0.14,6.75,5.54,5.60,0.06,0.02,8.19,12.50,5.53,430.28,0.79,0.83,-4.15,-4.43
214,5.39,5.27,0.11,5.39,4.60,4.24,0.36,0.00,5.69,11.55,6.71,586.13,0.80,0.91,-3.11,-3.97
215,6.05,5.87,0.18,6.05,5.18,4.86,0.32,0.01,8.07,13.40,6.54,532.47,0.85,0.84,-4.02,-3.72
216,5.24,5.45,0.21,5.45,4.49,4.55,0.06,0.00,5.02,10.76,6.48,573.03,0.86,0.89,-3.42,-3.71
217,5.59,5.81,0.22,5.81,4.73,4.85,0.13,0.00,7.13,12.80,6.75,567.92,0.86,0.89,-3.65,-3.87
218,5.53,5.51,0.02,5.53,4.72,4.62,0.10,0.00,7.48,13.72,7.36,623.92,0.87,0.91,-3.71,-3.90
219,6.43,6.49,0.06,6.49,5.24,5.47,0.23,0.02,6.48,10.85,5.35,437.39,0.87,0.79,-4.53,-3.93
220,5.08,5.82,0.74,5.82,4.36,4.56,0.20,0.00,5.63,11.59,6.81,596.33,0.87,0.89,-3.62,-3.76
221,5.94,6.00,0.06,6.00,5.07,5.10,0.03,0.01,4.54,9.39,5.53,485.02,0.85,0.86,-3.99,-3.97
222,5.44,5.56,0.12,5.56,4.65,4.54,0.11,0.01,6.57,12.31,6.72,573.49,0.83,0.92,-3.27,-4.17
223,6.09,5.85,0.24,6.09,5.04,5.02,0.02,0.00,6.66,11.39,5.73,472.80,0.85,0.85,-3.87,-3.95
224,5.95,5.83,0.12,5.95,5.07,5.01,0.06,0.02,5.20,9.97,5.55,476.96,0.85,0.88,-4.21,-4.24
225,5.21,5.43,0.22,5.43,4.46,4.46,0.00,0.00,6.08,12.12,6.95,603.54,0.85,0.86,-3.46,-3.38
226,5.25,5.24,0.01,5.25,4.34,4.31,0.03,0.00,6.57,12.81,7.23,624.21,0.89,0.89,-3.53,-3.60
227,6.02,5.96,0.06,6.02,5.04,5.11,0.06,0.00,6.04,11.56,6.43,552.08,0.87,0.86,-4.07,-3.93
228,6.09,6.21,0.12,6.21,5.22,5.25,0.03,0.00,5.78,10.44,5.53,465.97,0.78,0.87,-3.66,-4.31
229,5.39,5.63,0.24,5.63,4.70,4.66,0.03,0.00,5.23,10.42,5.97,518.97,0.92,0.86,-4.21,-3.72
230,5.63,5.65,0.02,5.65,4.71,4.67,0.05,0.00,6.63,12.48,6.84,584.73,0.85,0.87,-3.59,-3.73
231,6.74,7.10,0.37,7.10,5.81,6.06,0.25,0.09,5.67,8.62,3.80,295.24,0.86,0.78,-5.23,-4.51
232,5.68,5.37,0.30,5.68,4.84,4.33,0.51,0.00,6.22,11.41,6.12,518.92,0.90,0.80,-4.14,-3.14
233,6.14,5.92,0.21,6.14,5.20,5.04,0.16,0.03,6.72,11.27,5.56,455.70,0.84,0.89,-3.92,-4.36
234,5.18,5.60,0.41,5.60,4.40,4.50,0.10,0.01,5.45,11.49,6.86,603.96,0.87,0.96,-3.57,-4.20
235,6.21,6.15,0.06,6.21,5.10,5.18,0.08,0.04,4.98,9.78,5.54,479.56,0.84,0.81,-4.05,-3.70
236,5.17,5.48,0.31,5.48,4.46,4.61,0.15,0.00,6.63,12.02,6.38,538.70,0.83,0.87,-3.44,-3.72
237,5.46,5.43,0.03,5.46,4.65,4.57,0.08,0.00,10.26,15.93,7.21,566.98,0.92,0.88,-4.11,-3.68
238,6.75,6.18,0.57,6.75,5.59,5.28,0.31,0.00,6.42,10.65,5.20,423.20,0.81,0.81,-4.19,-4.08
239,5.10,4.93,0.16,5.10,4.15,4.14,0.01,0.00,7.45,14.35,8.01,689.58,0.88,0.88,-3.27,-3.32
240,5.58,5.55,0.03,5.58,4.59,4.63,0.05,0.00,6.55,12.96,7.39,641.19,0.89,0.84,-3.83,-3.54
241,5.79,5.21,0.58,5.79,4.83,4.45,0.38,0.01,7.92,13.72,6.99,580.54,0.84,0.90,-3.60,-3.93
242,6.51,6.62,0.11,6.62,5.57,5.61,0.05,0.01,6.32,10.67,5.29,434.52,0.81,0.83,-4.22,-4.30
243,6.04,6.12,0.08,6.12,4.93,5.09,0.16,0.03,5.16,9.86,5.48,470.52,0.85,0.78,-4.02,-3.44
244,5.22,5.40,0.18,5.40,4.45,4.55,0.10,0.00,4.74,10.81,6.78,606.77,0.88,0.87,-3.63,-3.66
245,7.19,6.64,0.55,7.19,6.21,5.61,0.60,0.03,5.15,8.49,4.12,334.31,0.84,0.78,-4.93,-4.26
246,5.62,5.65,0.03,5.65,4.82,4.67,0.14,0.00,6.33,11.38,6.00,505.43,0.86,0.84,-3.80,-3.67
247,5.56,5.68,0.12,5.68,4.42,4.65,0.24,0.00,7.09,12.89,6.87,580.23,0.84,0.85,-3.54,-3.64
248,6.24,6.36,0.11,6.36,5.16,5.50,0.34,0.02,6.18,10.18,4.93,400.36,0.79,0.86,-3.80,-4.61
249,5.87,5.77,0.10,5.87,4.98,4.85,0.13,0.00,6.37,11.36,5.94,498.61,0.84,0.81,-3.94,-3.42
250,5.73,5.63,0.10,5.73,4.79,4.77,0.01,0.00,7.71,13.80,7.25,609.07,0.88,0.86,-3.96,-3.79
251,6.34,6.06,0.27,6.34,5.39,5.22,0.17,0.01,6.16,10.59,5.35,442.95,0.84,0.88,-4.14,-4.59
252,6.56,6.60,0.04,6.60,5.63,5.50,0.13,0.04,7.14,11.11,5.04,397.25,0.86,0.81,-4.66,-4.24
253,6.22,6.19,0.02,6.22,5.36,5.18,0.18,0.00,5.38,10.47,5.90,509.76,0.88,0.79,-4.31,-3.53
254,6.44,6.25,0.19,6.44,5.36,5.16,0.20,0.00,6.83,11.23,5.43,440.00,0.82,0.84,-4.06,-4.26
255,6.75,7.11,0.36,7.11,5.66,6.02,0.36,0.07,4.25,7.65,4.03,339.56,0.81,0.76,-4.48,-4.16
256,5.22,5.29,0.06,5.29,4.35,4.55,0.20,0.00,6.70,12.17,6.48,547.11,0.90,0.86,-3.86,-3.58
257,5.06,5.38,0.32,5.38,4.27,4.37,0.10,0.00,5.91,12.18,7.15,626.79,0.92,0.85,-3.64,-3.14
258,5.11,5.76,0.64,5.76,4.36,4.79,0.42,0.01,6.43,12.07,6.61,564.49,0.95,0.86,-4.30,-3.67
259,6.52,6.78,0.26,6.78,5.50,5.66,0.16,0.03,5.11,9.13,4.79,402.12,0.77,0.81,-3.96,-4.43
260,6.53,6.58,0.05,6.58,5.36,5.66,0.30,0.03,5.08,8.98,4.66,389.86,0.76,0.82,-3.83,-4.35
261,6.04,6.34,0.30,6.34,5.27,5.39,0.12,0.01,4.13,8.48,4.97,434.75,0.82,0.86,-3.97,-4.35
262,6.11,5.89,0.22,6.11,5.02,4.97,0.05,0.00,6.66,12.06,6.40,539.65,0.84,0.90,-3.78,-4.23
263,5.91,5.93,0.02,5.93,5.12,5.08,0.04,0.01,6.13,10.96,5.75,482.69,0.88,0.85,-4.32,-4.12
264,5.88,5.91,0.02,5.91,4.95,5.10,0.14,0.00,5.49,10.64,5.97,514.09,0.82,0.89,-3.66,-4.26
265,5.03,5.05,0.02,5.05,4.32,4.15,0.17,0.00,5.12,11.88,7.53,675.99,0.79,0.92,-2.67,-3.72
266,5.36,5.85,0.48,5.85,4.57,5.01,0.44,0.00,5.57,10.78,6.05,521.66,0.84,0.89,-3.71,-4.17
267,6.56,6.17,0.39,6.56,5.42,5.06,0.37,0.00,5.86,10.69,5.71,482.91,0.82,0.84,-3.94,-3.83
268,6.96,7.21,0.24,7.21,5.95,6.14,0.20,0.03,5.22,8.67,4.23,345.13,0.79,0.80,-4.55,-4.71
269,5.56,5.61,0.05,5.61,4.65,4.55,0.10,0.00,5.89,12.09,7.08,619.30,0.85,0.89,-3.46,-3.73
270,5.81,5.55,0.27,5.81,4.73,4.83,0.10,0.00,5.72,11.23,6.37,551.10,0.87,0.88,-3.88,-3.86
271,5.98,5.91,0.07,5.98,5.03,5.11,0.08,0.00,5.27,10.07,5.59,480.20,0.80,0.83,-3.61,-3.91
272,6.32,6.51,0.19,6.51,5.25,5.53,0.28,0.01,4.40,8.27,4.52,386.23,0.84,0.86,-4.34,-4.63
273,5.90,6.01,0.10,6.01,4.99,5.03,0.05,0.00,5.88,10.61,5.61,472.96,0.86,0.83,-4.10,-3.85
274,6.44,6.27,0.16,6.44,5.45,5.48,0.03,0.03,5.58,10.11,5.37,452.90,0.88,0.78,-4.49,-3.75
275,5.92,5.71,0.21,5.92,5.04,4.86,0.18,0.01,6.41,11.22,5.78,481.41,0.91,0.84,-4.43,-3.86
276,5.21,4.98,0.23,5.21,3.95,4.04,0.09,0.00,5.83,12.15,7.19,632.03,0.88,0.95,-3.33,-3.77
277,5.90,5.84,0.06,5.90,4.90,4.88,0.01,0.00,6.93,12.39,6.49,545.49,0.86,0.85,-3.77,-3.65
278,6.86,6.81,0.05,6.86,5.63,5.86,0.23,0.03,6.96,10.19,4.27,322.51,0.81,0.78,-4.50,-4.39
279,5.24,5.34,0.10,5.34,4.43,4.49,0.06,0.00,6.57,12.63,7.04,605.88,0.89,0.80,-3.77,-3.05
280,5.95,5.87,0.08,5.95,5.03,5.01,0.02,0.00,5.58,10.21,5.47,462.87,0.88,0.83,-4.29,-3.95
281,6.59,6.90,0.31,6.90,5.64,5.79,0.15,0.06,4.29,7.80,4.15,350.95,0.77,0.81,-4.20,-4.59
282,5.47,5.67,0.20,5.67,4.81,4.76,0.04,0.00,5.18,10.89,6.49,570.89,0.90,0.86,-3.96,-3.76
283,6.23,5.98,0.25,6.23,5.24,5.23,0.01,0.00,5.85,10.50,5.53,465.65,0.79,0.85,-3.76,-4.07
284,6.10,6.19,0.09,6.19,5.07,5.29,0.22,0.02,6.22,10.57,5.28,434.98,0.81,0.87,-3.97,-4.52
285,5.93,5.56,0.36,5.93,5.03,4.85,0.18,0.00,6.44,11.64,6.17,520.32,0.85,0.81,-3.99,-3.62
286,5.61,5.90,0.29,5.90,4.74,5.02,0.28,0.02,4.10,9.10,5.61,499.83,0.85,0.84,-3.86,-3.96
287,5.62,5.89,0.28,5.89,4.82,5.03,0.21,0.00,8.32,13.11,6.04,478.82,0.86,0.88,-3.95,-4.14
288,5.33,5.95,0.62,5.95,4.51,5.09,0.58,0.03,5.09,10.43,6.10,533.13,0.86,0.85,-3.72,-3.76
289,6.14,6.04,0.10,6.14,5.11,4.95,0.17,0.00,5.67,10.31,5.49,463.96,0.81,0.88,-3.65,-4.10
290,7.10,6.96,0.14,7.10,5.80,5.83,0.03,0.20,5.71,8.88,4.02,316.57,0.78,0.78,-4.37,-4.36
291,6.22,5.95,0.27,6.22,5.20,5.10,0.10,0.01,7.64,12.48,5.99,484.24,0.80,0.86,-3.61,-4.12
292,6.09,5.78,0.31,6.09,5.08,4.84,0.24,0.02,8.58,12.90,5.61,432.26,0.86,0.83,-4.01,-3.84
293,6.26,6.01,0.25,6.26,5.33,5.19,0.14,0.00,5.89,10.94,5.93,504.21,0.77,0.85,-3.48,-4.18
294,5.15,5.32,0.17,5.32,4.38,4.40,0.02,0.00,6.58,12.40,6.81,582.21,0.81,0.88,-3.02,-3.52
295,6.16,5.97,0.19,6.16,5.25,4.96,0.29,0.00,5.57,10.31,5.58,474.25,0.85,0.82,-4.04,-3.72
296,6.71,6.27,0.43,6.71,5.52,5.26,0.26,0.00,7.25,11.62,5.46,437.55,0.84,0.85,-4.23,-4.28
297,6.60,6.33,0.27,6.60,5.47,5.35,0.11,0.03,6.31,10.12,4.75,380.36,0.77,0.83,-4.06,-4.42
298,5.19,5.35,0.16,5.35,4.35,4.37,0.02,0.00,5.45,11.76,7.13,631.06,0.96,0.88,-4.14,-3.52
299,6.29,6.37,0.08,6.37,5.37,5.36,0.00,0.01,5.06,9.42,5.12,435.68,0.87,0.83,-4.29,-4.03
300,6.44,6.35,0.09,6.44,5.56,5.43,0.13,0.00,5.22,9.50,5.06,427.40,0.78,0.79,-3.72,-3.81
301,5.42,5.44,0.02,5.44,4.62,4.60,0.02,0.00,7.06,12.58,6.58,552.06,0.85,0.86,-3.61,-3.65
302,5.25,5.49,0.24,5.49,4.39,4.50,0.11,0.00,6.77,12.58,6.83,581.35,0.88,0.83,-3.82,-3.25
303,5.57,5.20,0.37,5.57,4.58,4.50,0.08,0.00,7.75,13.59,7.00,584.13,0.85,0.92,-3.42,-4.07
304,5.84,6.05,0.21,6.05,4.86,5.11,0.24,0.01,8.33,14.07,6.99,573.71,0.87,0.89,-3.87,-4.10
305,6.91,6.96,0.05,6.96,5.84,5.82,0.02,0.03,5.65,8.77,3.97,312.73,0.80,0.80,-4.43,-4.53
306,5.37,5.37,0.01,5.37,4.42,4.51,0.09,0.00,7.07,13.06,7.05,598.66,0.84,0.79,-3.22,-2.89
307,6.65,6.30,0.36,6.65,5.55,5.45,0.10,0.09,5.61,9.30,4.53,368.99,0.77,0.77,-4.12,-4.10
308,5.34,5.62,0.29,5.62,4.46,4.82,0.36,0.01,6.58,12.60,7.00,601.53,0.88,0.88,-3.60,-3.82
309,6.36,6.63,0.27,6.63,5.49,5.59,0.10,0.04,6.84,11.05,5.23,420.67,0.81,0.78,-4.15,-3.87
310,5.29,5.29,0.00,5.29,4.48,4.45,0.03,0.01,8.29,13.95,6.91,566.20,0.91,0.88,-3.99,-3.73
311,6.11,6.19,0.08,6.19,5.10,5.21,0.11,0.00,5.93,11.11,6.07,518.45,0.81,0.86,-3.88,-4.13
312,5.53,5.87,0.34,5.87,4.66,4.84,0.18,0.00,4.61,10.42,6.51,581.69,0.85,0.84,-3.59,-3.53
313,5.52,5.70,0.17,5.70,4.71,4.76,0.05,0.00,5.96,11.96,6.89,599.71,0.86,0.87,-3.67,-3.66
314,5.61,5.64,0.03,5.64,4.81,4.78,0.03,0.00,5.23,11.09,6.64,585.97,0.87,0.82,-3.85,-3.37
315,6.24,6.18,0.06,6.24,5.32,5.24,0.08,0.00,5.39,10.17,5.59,477.62,0.84,0.91,-4.00,-4.64
316,6.24,6.14,0.11,6.24,5.03,5.14,0.10,0.05,6.53,11.13,5.58,459.95,0.83,0.84,-3.76,-3.93
317,5.26,5.51,0.25,5.51,4.36,4.57,0.20,0.02,8.32,13.97,6.90,564.71,0.84,0.84,-3.35,-3.47
318,6.07,6.24,0.17,6.24,5.22,5.39,0.17,0.02,5.82,10.61,5.67,479.30,0.84,0.78,-4.11,-3.77
319,7.08,6.95,0.13,7.08,6.08,5.89,0.19,0.04,4.80,8.18,4.10,338.01,0.74,0.87,-4.11,-5.22
320,5.79,5.58,0.21,5.79,4.79,4.53,0.26,0.00,5.30,10.40,5.89,509.51,0.80,0.89,-3.26,-4.02
321,6.18,6.21,0.03,6.21,5.33,5.35,0.02,0.01,5.27,9.49,5.02,422.65,0.87,0.85,-4.51,-4.36
322,5.37,5.44,0.08,5.44,4.61,4.49,0.12,0.00,8.43,14.58,7.41,614.64,0.89,0.80,-3.67,-3.03
323,5.86,5.68,0.18,5.86,5.00,4.76,0.24,0.02,7.84,12.55,5.88,470.87,0.84,0.86,-3.87,-4.01
324,6.46,5.99,0.47,6.46,5.59,5.16,0.44,0.01,5.17,9.32,4.93,415.47,0.85,0.84,-4.42,-4.24
325,5.17,5.24,0.07,5.24,4.31,4.39,0.08,0.00,5.72,12.28,7.42,656.35,0.90,0.86,-3.45,-3.26
326,7.31,6.56,0.75,7.31,6.18,5.74,0.44,0.06,5.84,9.36,4.40,351.98,0.78,0.80,-4.33,-4.52
327,5.74,5.87,0.14,5.87,5.01,5.01,0.00,0.00,7.84,12.71,6.05,487.10,0.87,0.87,-4.09,-4.16
328,6.33,6.11,0.22,6.33,5.43,5.10,0.33,0.04,8.35,12.69,5.59,434.24,0.85,0.82,-4.24,-3.99
329,5.60,5.47,0.13,5.60,4.84,4.55,0.29,0.00,7.79,13.10,6.48,530.67,0.87,0.82,-3.88,-3.40
330,5.20,5.57,0.37,5.57,4.28,4.53,0.25,0.00,5.40,11.60,7.01,619.84,0.88,0.86,-3.50,-3.42
331,5.97,5.77,0.20,5.97,4.96,4.97,0.01,0.00,6.27,11.22,5.89,495.01,0.91,0.84,-4.40,-3.79
332,6.41,6.23,0.18,6.41,5.41,5.35,0.06,0.03,4.63,8.80,4.87,417.26,0.85,0.85,-4.25,-4.24
333,6.16,5.79,0.37,6.16,5.17,5.00,0.17,0.01,5.78,10.31,5.40,452.88,0.83,0.84,-3.99,-4.09
334,5.97,5.56,0.42,5.97,4.98,4.76,0.22,0.00,4.65,9.61,5.66,495.97,0.88,0.85,-4.13,-3.75
335,6.24,6.28,0.04,6.28,5.20,5.16,0.04,0.01,5.51,10.35,5.67,484.44,0.83,0.90,-3.93,-4.60
336,5.34,5.24,0.10,5.34,4.40,4.46,0.06,0.00,6.90,13.16,7.29,625.63,0.85,0.88,-3.30,-3.56
337,5.05,5.33,0.28,5.33,4.30,4.35,0.05,0.00,5.44,11.33,6.71,589.70,0.86,0.88,-3.46,-3.63
338,5.24,5.19,0.05,5.24,4.51,4.30,0.22,0.00,7.26,13.67,7.50,641.20,0.88,0.88,-3.54,-3.31
339,5.67,5.72,0.06,5.72,4.69,4.78,0.10,0.00,6.71,12.52,6.82,581.40,0.89,0.88,-4.00,-3.97
340,5.49,5.47,0.02,5.49,4.41,4.49,0.08,0.00,5.86,11.97,6.98,610.45,0.84,0.88,-3.38,-3.65
341,6.31,6.20,0.11,6.31,5.12,5.19,0.07,0.00,8.20,12.49,5.53,429.53,0.84,0.84,-4.10,-4.14
342,6.02,5.72,0.30,6.02,5.10,4.72,0.38,0.00,7.87,12.91,6.22,503.91,0.81,0.87,-3.63,-4.05
343,5.97,5.73,0.24,5.97,4.88,5.01,0.13,0.02,5.76,10.57,5.67,480.38,0.82,0.85,-3.80,-4.02
344,6.86,6.49,0.37,6.86,5.60,5.58,0.02,0.00,5.26,8.95,4.48,369.20,0.77,0.82,-4.01,-4.46
345,6.60,6.20,0.40,6.60,5.59,5.29,0.30,0.00,5.55,9.89,5.17,434.17,0.80,0.87,-3.89,-4.42
346,5.20,5.55,0.36,5.55,4.43,4.60,0.16,0.00,7.25,13.09,6.92,583.59,0.88,0.86,-3.55,-3.53
347,5.24,5.49,0.25,5.49,4.31,4.46,0.16,0.00,5.75,11.70,6.81,594.76,0.91,0.89,-3.61,-3.62
348,6.25,6.12,0.13,6.25,5.35,5.10,0.25,0.00,7.31,11.77,5.56,446.29,0.81,0.86,-3.85,-4.22
349,6.05,6.36,0.31,6.36,5.15,5.36,0.21,0.00,7.30,12.07,5.86,476.73,0.89,0.83,-4.66,-4.15
350,5.51,5.21,0.31,5.51,4.51,4.24,0.27,0.00,5.37,11.56,7.00,619.44,0.88,0.82,-3.67,-3.20
351,5.78,5.51,0.27,5.78,4.70,4.51,0.19,0.00,7.19,12.89,6.78,569.87,0.88,0.83,-3.87,-3.48
352,5.83,5.55,0.28,5.83,4.84,4.64,0.20,0.00,7.95,13.07,6.31,511.99,0.88,0.85,-3.98,-3.56
353,4.90,4.94,0.04,4.94,4.11,4.24,0.13,0.00,6.73,12.94,7.21,620.50,0.96,0.90,-3.89,-3.52
354,5.32,5.34,0.03,5.34,4.50,4.50,0.00,0.00,6.64,13.06,7.41,641.80,0.84,0.91,-3.11,-3.79
355,6.23,6.82,0.59,6.82,5.47,5.67,0.20,0.05,6.01,9.84,4.74,383.82,0.84,0.83,-4.39,-4.33
356,6.20,6.08,0.12,6.20,5.28,5.13,0.15,0.02,6.19,10.58,5.32,439.20,0.77,0.80,-3.58,-3.71
357,5.40,5.16,0.24,5.40,4.27,4.39,0.12,0.00,5.48,11.66,7.00,617.88,0.84,0.82,-3.08,-3.08
358,6.27,6.47,0.21,6.47,5.05,5.51,0.46,0.05,5.43,9.45,4.84,402.26,0.82,0.82,-4.15,-4.32
359,6.91,6.77,0.14,6.91,5.78,6.01,0.23,0.02,7.01,10.94,4.98,392.85,0.83,0.80,-4.58,-4.42
360,6.02,5.86,0.16,6.02,5.12,4.94,0.18,0.03,5.63,9.87,5.08,423.84,0.79,0.87,-3.75,-4.23
361,5.64,5.73,0.09,5.73,4.89,4.97,0.07,0.00,6.10,11.60,6.42,550.73,0.83,0.85,-3.43,-3.64
362,6.26,6.42,0.16,6.42,5.40,5.41,0.00,0.02,6.69,10.73,5.04,403.90,0.84,0.86,-4.49,-4.57
363,5.77,5.91,0.14,5.91,4.93,5.13,0.20,0.01,5.77,10.98,6.07,520.61,0.81,0.83,-3.55,-3.65
364,5.15,5.40,0.26,5.40,4.43,4.52,0.10,0.00,6.92,12.50,6.61,557.51,0.87,0.87,-3.66,-3.55
365,6.11,6.10,0.01,6.11,5.37,5.02,0.35,0.01,7.65,11.99,5.49,433.91,0.85,0.88,-4.34,-4.31
366,5.18,4.85,0.33,5.18,4.20,4.18,0.02,0.00,6.28,12.45,7.12,617.39,0.89,0.92,-3.43,-3.69
367,6.22,6.23,0.02,6.23,5.12,5.19,0.08,0.00,5.63,10.29,5.51,465.99,0.77,0.85,-3.49,-4.29
368,6.54,6.77,0.24,6.77,5.51,5.59,0.08,0.04,6.31,9.63,4.26,331.61,0.84,0.74,-4.47,-3.85
369,6.82,6.73,0.08,6.82,5.88,5.73,0.15,0.01,5.96,9.48,4.41,352.09,0.83,0.79,-4.54,-4.37
370,5.69,5.87,0.18,5.87,4.87,4.85,0.02,0.00,5.69,10.61,5.78,492.28,0.89,0.83,-4.12,-3.65
371,5.83,5.10,0.74,5.83,4.86,4.29,0.57,0.00,6.37,12.31,6.90,594.08,0.84,0.89,-3.43,-3.70
372,6.58,6.58,0.01,6.58,5.69,5.67,0.02,0.01,4.11,7.49,4.00,338.09,0.76,0.82,-4.15,-4.70
373,6.14,6.25,0.11,6.25,5.36,5.25,0.11,0.01,3.96,7.99,4.63,403.61,0.83,0.85,-4.22,-4.38
374,6.13,5.92,0.21,6.13,5.16,4.96,0.19,0.00,7.69,12.48,5.94,479.04,0.87,0.89,-4.27,-4.32
375,5.58,5.75,0.17,5.75,4.63,4.57,0.07,0.00,6.28,12.36,7.02,607.96,0.90,0.86,-3.89,-3.49
376,6.90,6.59,0.31,6.90,5.89,5.66,0.23,0.01,6.85,10.34,4.52,349.75,0.76,0.78,-4.08,-4.23
377,6.60,6.62,0.02,6.62,5.40,5.56,0.16,0.02,4.88,9.30,5.16,442.71,0.85,0.75,-4.45,-3.68
378,6.25,6.38,0.13,6.38,5.09,5.32,0.23,0.00,7.57,12.07,5.64,450.43,0.87,0.82,-4.35,-3.99
379,6.02,5.79,0.23,6.02,5.16,4.90,0.26,0.00,5.72,10.39,5.53,467.17,0.88,0.92,-4.32,-4.40
380,6.45,6.07,0.39,6.45,5.39,5.14,0.25,0.00,5.73,9.90,5.03,416.79,0.84,0.82,-4.19,-4.01
381,5.44,5.21,0.23,5.44,4.61,4.42,0.19,0.00,5.14,11.37,7.01,623.67,0.87,0.89,-3.56,-3.59
382,5.94,5.94,0.00,5.94,4.99,5.07,0.08,0.01,8.03,12.69,5.87,466.21,0.87,0.85,-4.23,-4.11
383,6.83,6.53,0.31,6.83,5.78,5.45,0.33,0.04,6.96,10.72,4.81,376.74,0.81,0.83,-4.37,-4.37
384,5.35,5.16,0.20,5.35,4.42,4.31,0.11,0.00,6.60,13.09,7.48,648.64,0.87,0.83,-3.56,-3.12
385,6.22,5.79,0.44,6.22,5.28,4.90,0.38,0.00,6.83,11.40,5.60,457.34,0.86,0.79,-4.53,-3.76
386,6.40,6.14,0.26,6.40,5.38,5.17,0.21,0.03,5.58,9.35,4.61,376.99,0.83,0.88,-4.24,-4.61
387,6.70,7.16,0.46,7.16,5.80,6.14,0.33,0.09,4.94,7.81,3.61,286.78,0.78,0.73,-4.51,-4.08
388,6.33,6.80,0.47,6.80,5.43,5.66,0.22,0.10,7.55,11.17,4.75,362.19,0.87,0.74,-4.86,-3.95
389,6.29,6.39,0.10,6.39,5.48,5.37,0.11,0.02,5.80,9.78,4.85,397.98,0.82,0.81,-4.19,-4.18
390,6.18,6.20,0.02,6.20,5.29,5.30,0.01,0.01,7.16,11.84,5.75,467.72,0.86,0.82,-4.23,-3.99
391,5.93,5.92,0.01,5.93,5.06,5.03,0.03,0.01,6.63,11.40,5.77,477.13,0.83,0.86,-3.79,-4.13
392,7.01,6.72,0.30,7.01,5.89,5.70,0.18,0.07,5.13,8.82,4.46,368.71,0.73,0.74,-3.86,-3.86
393,5.91,6.06,0.15,6.06,5.22,5.17,0.04,0.01,6.46,10.92,5.43,445.99,0.80,0.85,-3.66,-4.08
394,6.63,6.85,0.22,6.85,5.76,5.81,0.05,0.03,5.86,9.16,4.18,329.67,0.82,0.83,-4.67,-4.71
395,5.90,5.51,0.39,5.90,4.95,4.62,0.32,0.00,6.04,11.56,6.42,551.83,0.87,0.86,-3.85,-3.78
396,4.85,5.01,0.17,5.01,4.10,4.19,0.09,0.00,6.93,13.72,7.84,679.72,0.88,0.86,-3.25,-3.17
397,5.50,5.30,0.20,5.50,4.74,4.26,0.48,0.00,5.49,11.59,6.92,610.02,0.86,0.85,-3.54,-3.37
398,5.03,4.96,0.08,5.03,4.23,4.22,0.01,0.00,6.21,12.53,7.25,631.97,0.88,0.87,-3.44,-3.13
399,6.14,6.07,0.07,6.14,4.95,5.30,0.34,0.00,6.39,10.62,5.19,423.32,0.88,0.79,-4.31,-3.84
400,5.91,5.74,0.17,5.91,4.88,4.86,0.02,0.01,7.07,12.12,6.11,504.93,0.89,0.85,-4.23,-3.86
401,5.39,5.18,0.21,5.39,4.52,4.32,0.20,0.00,5.63,11.74,6.96,611.31,0.89,0.87,-3.73,-3.49
402,5.17,5.10,0.07,5.17,4.26,4.27,0.01,0.00,5.70,11.94,7.10,624.04,0.90,0.88,-3.66,-3.43
403,6.01,6.13,0.12,6.13,4.97,5.09,0.12,0.00,6.74,11.34,5.61,460.13,0.82,0.87,-3.90,-4.34
404,6.03,5.90,0.13,6.03,5.15,5.04,0.12,0.00,7.62,12.29,5.82,467.89,0.87,0.86,-4.13,-4.11
405,6.25,6.13,0.12,6.25,5.36,5.12,0.24,0.03,5.94,10.50,5.45,456.08,0.86,0.83,-4.33,-3.95
